Metric,Value,System
decreasing_fraction,0.5893,Hard-Coded
roa_decreasing_fraction,0.0826,Hard-Coded
fraction_roa_decreasing_violation,0,Hard-Coded
rho,0.022322,Hard-Coded
roa_fraction,0.3245,Hard-Coded
decreasing_fraction,0.523,Hard-Coded
roa_decreasing_fraction,0.2925,Hard-Coded
fraction_roa_decreasing_violation,0.0988,Hard-Coded
rho,0.022308,Hard-Coded
roa_fraction,0.3784,Hard-Coded
decreasing_fraction,0.5576,Hard-Coded
roa_decreasing_fraction,0.3277,Hard-Coded
fraction_roa_decreasing_violation,0.134,Hard-Coded
rho,0.022436,Symbolic
roa_fraction,0.2024,Symbolic
decreasing_fraction,0.3764,Symbolic
roa_decreasing_fraction,0.2016,Symbolic
fraction_roa_decreasing_violation,0.004033169996,Symbolic
rho,0.022715,Symbolic
roa_fraction,0.2316,Symbolic
decreasing_fraction,0.3566,Symbolic
roa_decreasing_fraction,0.2316,Symbolic
fraction_roa_decreasing_violation,0,Symbolic
rho,0.037877,Symbolic
roa_fraction,0.1263,Symbolic
decreasing_fraction,0.4402,Symbolic
roa_decreasing_fraction,0.1165,Symbolic
fraction_roa_decreasing_violation,0.0776,Symbolic
rho,0.019165,Symbolic
roa_fraction,0.135,Symbolic
decreasing_fraction,0.4332,Symbolic
roa_decreasing_fraction,0.1329,Symbolic
fraction_roa_decreasing_violation,0.0154,Symbolic
rho,0.022696,Symbolic
roa_fraction,0.2358,Symbolic
decreasing_fraction,0.3442,Symbolic
roa_decreasing_fraction,0.2358,Symbolic
fraction_roa_decreasing_violation,0,Symbolic
rho,0.005713,Symbolic
roa_fraction,0.1163,Symbolic
decreasing_fraction,0.5151,Symbolic
roa_decreasing_fraction,0.1055,Symbolic
fraction_roa_decreasing_violation,0.093,Symbolic
rho,0.022767,Symbolic
roa_fraction,0.2349,Symbolic
decreasing_fraction,0.3365,Symbolic
roa_decreasing_fraction,0.2349,Symbolic
fraction_roa_decreasing_violation,3.25E-05,Symbolic
rho,0.023006,Symbolic
roa_fraction,0.2238,Symbolic
decreasing_fraction,0.3177,Symbolic
roa_decreasing_fraction,0.2238,Symbolic
fraction_roa_decreasing_violation,0,Symbolic
rho,0.026201,Symbolic
roa_fraction,0.1935,Symbolic
decreasing_fraction,0.3501,Symbolic
roa_decreasing_fraction,0.1926,Symbolic
fraction_roa_decreasing_violation,0.004455660266,Symbolic
rho,0.029959,Symbolic
roa_fraction,0.1658,Symbolic
decreasing_fraction,0.3772,Symbolic
roa_decreasing_fraction,0.1658,Symbolic
fraction_roa_decreasing_violation,0,Symbolic
rho,0.024011,Symbolic
roa_fraction,0.1884,Symbolic
decreasing_fraction,0.3564,Symbolic
roa_decreasing_fraction,0.1884,Symbolic
fraction_roa_decreasing_violation,0,Symbolic
rho,0.048556,Symbolic
roa_fraction,0.1623,Symbolic
decreasing_fraction,0.4237,Symbolic
roa_decreasing_fraction,0.1623,Symbolic
fraction_roa_decreasing_violation,0,Symbolic
rho,0.022679,Symbolic
roa_fraction,0.2288,Symbolic
decreasing_fraction,0.3423,Symbolic
roa_decreasing_fraction,0.2288,Symbolic
fraction_roa_decreasing_violation,0,Symbolic
rho,0.022249,Symbolic
roa_fraction,0.6075,Symbolic
decreasing_fraction,0.5432,Symbolic
roa_decreasing_fraction,0.4086,Symbolic
fraction_roa_decreasing_violation,0.3275,Symbolic
rho,0.027954,Symbolic
roa_fraction,0.1258,Symbolic
decreasing_fraction,0.4909,Symbolic
roa_decreasing_fraction,0.1214,Symbolic
fraction_roa_decreasing_violation,0.0346,Symbolic
rho,0.023437,Symbolic
roa_fraction,0.2325,Symbolic
decreasing_fraction,0.3484,Symbolic
roa_decreasing_fraction,0.2325,Symbolic
fraction_roa_decreasing_violation,0,Symbolic
rho,0.052044,Symbolic
roa_fraction,0.1431,Symbolic
decreasing_fraction,0.4843,Symbolic
roa_decreasing_fraction,0.1431,Symbolic
fraction_roa_decreasing_violation,0,Symbolic
rho,0.019854,Symbolic
roa_fraction,0.1311,Symbolic
decreasing_fraction,0.4622,Symbolic
roa_decreasing_fraction,0.1267,Symbolic
fraction_roa_decreasing_violation,0.0336,Symbolic
rho,0.012252,Symbolic
roa_fraction,0.174,Symbolic
decreasing_fraction,0.4282,Symbolic
roa_decreasing_fraction,0.1736,Symbolic
fraction_roa_decreasing_violation,0.001798166747,Symbolic
rho,0.026229,Symbolic
roa_fraction,0.1405,Symbolic
decreasing_fraction,0.4731,Symbolic
roa_decreasing_fraction,0.1368,Symbolic
fraction_roa_decreasing_violation,0.0264,Symbolic
